Series Name,Series Code,Country Name,Country Code,"2012 [YR2012] =AVERAGE(IF(ISBLANK(2012[YR2012]:2012[YR2012]), """", 2012[YR2012]:2012[YR2012))",2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Malta,MLT,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Marshall Islands,MHL,4090000.153,4300000.191,5400000.095,1500000,30399999.62,18100000.38,20100000.38,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Mauritania,MRT,50000000,50000000,42000000,31000000,33000000,24000000,6000000,13699999.81,6400000.095
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Mauritius,MUS,1778000000,1593000000,1719000000,1680000000,1824000000,2005000000,2161000000,2024000000,518000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Mexico,MEX,13320000000,14311000000,16606000000,18729000000,20619000000,22467000000,23802000000,25847000000,11449000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,"Micronesia, Fed. Sts.",FSM,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Moldova,MDA,279000000,324000000,328000000,300000000,344000000,442000000,500000000,527000000,354000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Monaco,MCO,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Mongolia,MNG,215000000,236000000,257000000,279000000,379000000,462000000,526000000,605000000,49000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Montenegro,MNE,860000000,929000000,959000000,947000000,978000000,1110000000,1224000000,1276000000,180000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Morocco,MAR,8491000000,8201000000,9070000000,7765000000,7922000000,9086000000,9520000000,9949000000,4514000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Mozambique,MOZ,224000000,228000000,225000000,202000000,114000000,164000000,331000000,324000000,113000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Myanmar,MMR,550000000,964000000,1687000000,2199000000,2289000000,1988000000,1670000000,2501000000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Namibia,NAM,416000000,357000000,552000000,540000000,295000000,449000000,488000000,451000000,155000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Nauru,NRU,1000000,1500000,6800000,1700000,3400000,3900000,1600000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Nepal,NPL,379000000,460000000,511000000,509000000,498000000,712000000,740000000,801000000,238000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Netherlands,NLD,17675000000,19429000000,19669000000,17558000000,19421800781,21844699219,23919099609,23723900391,10926200195
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,New Caledonia,NCL,288000000,287000000,287000000,246000000,248000000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,New Zealand,NZL,7142000000,7434000000,8582000000,9464000000,9773000000,10594000000,10961000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Nicaragua,NIC,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Niger,NER,51000000,59000000,100000000,80000000,84000000,91000000,114000000,130000000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Nigeria,NGA,638000000,616000000,605000000,461000000,1088000000,2615000000,1977000000,1471000000,321000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,North Macedonia,MKD,237000000,270000000,298000000,268000000,283000000,331000000,387000000,401000000,253000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Northern Mariana Islands,MNP,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Norway,NOR,6784000000,7175000000,7503000000,6370000000,6285000000,6565000000,7280000000,7040000000,2196000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Oman,OMN,1723000000,1888000000,1971000000,2247000000,2324000000,2629000000,2874000000,3077000000,669000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Pakistan,PAK,1014000000,938000000,971000000,915000000,790000000,865000000,845000000,992000000,765000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Palau,PLW,109000000,117000000,131000000,156000000,148000000,123000000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Panama,PAN,4585000000,5419000000,5749000000,5754000000,6283000000,6827000000,7139000000,7052000000,1841000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Papua New Guinea,PNG,3456000,3700000.048,2799999.952,3456000,1600000.024,15260000.23,4230000.019,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Paraguay,PRY,291000000,299000000,314000000,348000000,356000000,399000000,393000000,409000000,104000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Peru,PER,3074000000,3916000000,3907000000,4140000000,4288000000,4439000000,4505000000,4703000000,1002000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Philippines,PHL,4963000000,5599000000,6059000000,6414000000,6289000000,8349000000,9715000000,11455000000,2769000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Poland,POL,11704000000,12242000000,12691000000,11164000000,11922000000,13925000000,15569000000,15712000000,8379000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Portugal,PRT,14578000000,16080000000,17577000000,16007000000,17347000000,21586000000,24366000000,24592000000,10522000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Puerto Rico,PRI,3193000000,3311000000,3439000000,3825000000,3974000000,3868000000,3303000000,3612000000,2921000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Qatar,QAT,7220000000,8452000000,10576000000,12131000000,12593000000,15757000000,15239000000,15647000000,14318000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Romania,ROU,1904000000,2307000000,2388000000,2229000000,2474000000,3553000000,3879000000,4240000000,1611000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Russian Federation,RUS,17876000000,20198000000,19451000000,13186000000,12822000000,14938000000,18735000000,17235000000,4961000000
